电影名称,导演,主演,评分,评价人数,quote,pic
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯,9.7,3263380人评价,希望让人自由。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,陈凯歌 Kaige Chen,张国荣,9.6,2407529人评价,风华绝代。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911205318.jpg
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥,9.5,2481222人评价,失去的才是永恒的。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯,9.5,2415956人评价,一部美国近现代史。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500944103.jpg
千与千寻,宫崎骏 Hayao Miyazaki,柊瑠美,9.4,2519879人评价,最好的宫崎骏，最好的久石让。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
美丽人生,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼,9.5,1473215人评价,最美的谎言。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
星际穿越,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳,9.4,2162238人评价,爱是一种力量，让我们超越时空感知它的存在。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
这个杀手不太冷,吕克·贝松 Luc Besson,让·雷诺,9.4,2538943人评价,怪蜀黍和小萝莉不得不说的故事。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.jpg
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥,9.4,2310835人评价,诺兰给了我们一场无法盗取的梦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
楚门的世界,彼得·威尔 Peter Weir,金·凯瑞,9.4,2002144人评价,如果再也不能见到你，祝你早安，午安，晚安。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森,9.5,1240216人评价,拯救一个人，就是拯救整个世界。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔,9.4,1534841人评价,永远都不能忘记你所爱的人。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯,9.3,1868637人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914698334.jpg
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,9.3,2300011人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2924128964.jpg
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗,9.2,2066563人评价,英俊版憨豆，高情商版谢耳朵。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特,9.3,1480939人评价,小瓦力，大人生。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,9.3,1464500人评价,天籁一般的童声，是最接近上帝的存在。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg
无间道,刘伟强 / 麦兆辉,刘德华,9.3,1553774人评价,香港电影史上永不过时的杰作。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
控方证人,比利·怀尔德 Billy Wilder,泰隆·鲍华,9.6,734023人评价,比利·怀德满分作品。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2927451337.jpg
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,周星驰,9.2,1700205人评价,一生所爱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,9.1,1970316人评价,死亡不是真的逝去，遗忘才是永恒的消亡。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg
熔炉,黄东赫 Dong-hyuk Hwang,孔侑,9.3,1030855人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
触不可及,,,9.3,1286433人评价,满满温情的高雅喜剧。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度,9.3,1099334人评价,千万不要记恨你的对手，这样会让你失去理智。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙,9.3,1021780人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯,9.1,1678699人评价,平民励志片。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
哈利·波特与魔法石,Chris Columbus,Daniel,9.2,1411735人评价,童话世界的开端。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.jpg
龙猫,宫崎骏 Hayao Miyazaki,日高法子,9.2,1403456人评价,人人心中都有个龙猫，童年就永远不会消失。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
活着,张艺谋 Yimou Zhang,葛优,9.3,964001人评价,张艺谋最好的电影。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg
怦然心动,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔,9.1,2040041人评价,真正的幸福是来自内心深处。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔,9.2,1186229人评价,无尽的黑暗。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
指环王3：王者无敌,彼得·杰克逊 Peter Jackson,伊利亚·伍德,9.3,904688人评价,史诗的终章。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
我不是药神,文牧野 Muye Wen,徐峥,9.0,2338360人评价,对我们国家而言，这样的电影多一部是一部。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,9.3,789152人评价,Tomorrow is another day.,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,9.1,1490514人评价,最后那些最无聊的事情，才是最值得怀念的。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg
让子弹飞,姜文 Wen Jiang,姜文,9.0,1910153人评价,你给我翻译翻译，神马叫做TMD的惊喜。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,倍赏千惠子,9.1,1280786人评价,带着心爱的人在天空飞翔。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.jpg
十二怒汉,西德尼·吕美特 Sidney Lumet,亨利·方达,9.4,574533人评价,1957年的理想主义。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬,9.3,772569人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
素媛,李濬益 Jun-ik Lee,薛景求,9.3,771730人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥,9.1,1201548人评价,骗子大师和执著警探的你追我跑故事。 ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
天空之城,宫崎骏 Hayao Miyazaki,田中真弓,9.2,1003275人评价,对天空的追逐，永不停止。 ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892409201.jpg
鬼子来了,姜文 Wen Jiang,姜文,9.3,710695人评价,对敌人的仁慈，就是对自己残忍。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗,9.0,1736222人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
少年派的奇幻漂流,李安 Ang Lee,苏拉·沙玛,9.1,1482843人评价,瑰丽壮观、无人能及的冒险之旅。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
钢琴家,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪,9.3,745394人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg
